eval_datetime,accuracy_score,log_loss
2025-05-16 06:20:03.461374,0.8125,0.5175731479812453
2025-05-16 17:21:39.491551,0.7711397058823529,0.5633979133966388
2025-05-16 17:28:07.162202,0.7683823529411765,0.5664636745997806
2025-05-16 17:31:46.540165,0.8115808823529411,0.5473232995309222
2025-05-16 18:00:00.051908,0.5527272727272727,0.9022767607588996
2025-05-16 18:08:47.431825,0.6566210045662101,0.8138592773856891
2025-05-18 12:48:20.811183,0.6181818181818182,0.8715307462204839
2025-05-18 12:51:25.883435,0.7362132352941176,0.6394307260266964
2025-05-18 12:54:13.513909,0.7408088235294118,0.531988905907429
2025-05-19 07:19:48.255759,0.7164995442114859,0.581224521977474
2025-05-19 07:21:19.062673,0.7301731996353692,0.6188990633905985
2025-05-19 07:38:49.357125,0.6435733819507748,0.8161774987571426
2025-05-19 07:41:19.523536,0.7611668185961714,0.4842103171785033
2025-05-19 08:07:22.056733,0.763901549680948,0.4883836232688624
2025-05-19 08:42:14.746181,0.7748404740200547,0.4561610028766541
2025-05-19 09:12:48.275211,0.7766636280765725,0.4552003060747306
2025-05-19 09:36:45.337607,0.7784867821330902,0.4564802304950352
2025-05-20 06:04:25.822900,0.7757520510483136,0.5406750862140204
2025-05-20 06:08:30.245588,0.7812215132178669,0.5159837678772664
2025-05-20 06:08:57.038425,0.7739288969917958,0.5421757499081633
2025-05-20 06:26:55.803179,0.7793983591613491,0.5437267664120244
2025-05-20 06:32:00.339915,0.7702825888787602,0.5407975801492804
2025-05-20 06:33:50.899469,0.7684594348222424,0.5411809348786103
2025-05-20 06:34:43.204077,0.7739288969917958,0.537831604611624
2025-05-20 06:38:16.135158,0.7584320875113947,0.6008869054489608
2025-05-20 06:40:18.756870,0.7538742023701003,0.6008412932012476
2025-05-20 06:41:58.127817,0.7529626253418414,0.6008744386515096
2025-05-20 07:17:24.734225,0.7529626253418414,0.6008744386515096
2025-05-20 07:18:12.807923,0.7566089334548769,0.6010135527832094
2025-05-20 09:06:01.622085,0.7556973564266181,0.6006797637970663
2025-05-20 09:15:44.488781,0.7520510483135825,0.6013064477756019
2025-05-21 09:03:52.032649,0.7538742023701003,0.6023629764177583
2025-05-21 09:05:16.497312,0.763901549680948,0.4882141537801584
2025-05-21 09:06:26.153429,0.7556973564266181,0.5938290513673528
2025-05-21 09:07:50.817986,0.7657247037374658,0.5778085599088221
2025-05-21 09:15:30.707161,0.763901549680948,0.4855081974987341
2025-05-21 09:19:09.367659,0.7693710118505014,0.4869080237466688
2025-05-21 09:53:25.233647,0.6358024691358025,0.8218828864886139
2025-05-21 09:54:03.108295,0.9238683127572016,0.3270050848378395
2025-05-21 09:55:03.749287,0.9156378600823044,0.3308933819164544
2025-05-21 10:06:47.254206,0.934156378600823,0.3147771398105332
2025-05-21 10:10:05.279397,0.9279835390946504,0.1617211291253124
2025-05-21 10:12:47.952600,0.9400369003690037,0.1445621498440324
