,date,Open,High,Low,Last,Close,Volume,BidVolume,AskVolume,returns,scaled_returns,OHLCAvg,rv5_1,rv5_5,rv5_21,hp,hp_signal,10_range,10_high_x,10_low_x,momentum_8,momentum_12,kama_5_x,kama_20_x,VSA,HAR_preds,ann_vol,target_returns
0,2009-05-13,1452.1,1456.9,1443.4,1450.4,1450.4,1373,0,0,,,1450.6999999999998,,,,,0.0,,,,,,,,,,,
1,2009-05-14,1450.3,1454.8,1446.6,1452.1,1452.1,1412,0,0,0.0011714040960502,,1450.9499999999998,0.0011714040960502,,,0.0618979151689435,0.0,,,,,,,,,,,
2,2009-05-15,1451.7,1460.3,1449.6,1457.3,1457.3,2340,0,0,0.0035746240029599,,1454.725,0.003761665099232,,,0.1375232613883777,0.0,,,,,,,,,,,
3,2009-05-16,1451.7,1460.3,1449.6,1457.3,1457.3,0,0,0,0.0,,1454.725,,,,0.206675780712985,0.0,,,,,,,,,,,
4,2009-05-17,1456.7,1457.6,1455.5,1457.2,1457.2,29,0,0,-6.862240524263541e-05,,1456.75,,,,0.2038198081756887,0.0,,,,,,0.0,,,,,
5,2009-05-18,1456.1,1459.3,1440.6,1445.0,1445.0,2073,0,0,-0.0084074645878757,,1450.25,0.0091360881450117,,,0.330667642288356,0.0,,,,,,-0.0079921482042824,,,,,
6,2009-05-19,1444.4,1455.2,1443.8,1451.9,1451.9,2329,0,0,0.0047637219431093,,1448.825,0.0096632555356694,,,0.3888173119430855,0.0,,,,,,-0.0031880055906821,,,,,
7,2009-05-20,1451.6,1466.1,1451.1,1462.9,1462.9,4306,0,0,0.0075477234943983,,1457.9250000000002,0.0089253110141414,0.0025651625355818,,0.4687358284564,0.0,,,,,,0.004224945729648,,,,,
8,2009-05-21,1463.9,1481.8,1461.3,1479.2,1479.2,4788,0,0,0.0110806340888744,,1471.5500000000002,0.0134070347862389,0.0033898785975922,,0.5794960429262064,0.0,,,,0.0196620206322739,,0.013378000351389,,,,,
9,2009-05-22,1477.4,1488.2,1475.4,1482.5,1482.5,6918,0,0,0.0022284507989658,,1480.875,0.0113024972804658,0.0034110158490837,,0.62149727733543,0.0,,,,0.0207190673351895,,0.0134521700020425,,,,,
10,2009-05-23,1477.4,1488.2,1475.4,1482.5,1482.5,0,0,0,0.0,,1480.875,,,,0.6596337006716785,0.0,,,,0.0171444433322296,,0.0074734277789125,,,,,
11,2009-05-24,1482.6,1483.4,1482.6,1483.0,1483.0,67,0,0,0.0003372112660509,,1482.9,,,,0.6032234767291755,0.0,,,,0.0174816545982805,,0.0043378124980287,,,,,
12,2009-05-25,1482.9,1485.4,1478.2,1481.9,1481.9,2483,0,0,-0.0007420149417987,,1482.1,0.0023728233341771,0.0033392057731279,,0.6042687609488104,0.0,,,,0.0168082620617244,0.0214856677554919,0.0022868475145885,,,,,
13,2009-05-26,1482.0,1483.0,1461.8,1478.1,1478.1,18914,0,0,-0.0025675689781063,,1476.225,0.0026726385148738,0.0029302855119816,,0.7131537447807239,0.0,,,,0.0226481576714938,0.0177466946813353,-0.0002729029942314,,,,,
14,2009-05-27,1478.1,1485.1,1469.4,1472.0,1472.0,33898,0,0,-0.0041354589292055,,1476.15,0.0048676925757981,0.0028918734643626,,0.7671623689430334,0.0,,,,0.0137489767991789,0.0100366117491699,-0.0027526521859355,,,,,
15,2009-05-28,1471.9,1490.3,1469.7,1485.4,1485.4,76620,0,0,0.0090620759463746,,1479.325,0.0099610863369919,0.003060891333302,,0.8496329562806588,0.0,,,,0.0152633292511552,0.0190986876955445,0.0061850034388934,,,,,
16,2009-05-29,1485.2,1505.6,1484.0,1504.5,1504.5,88633,0,0,0.0127765208349037,,1494.8249999999998,0.0156639939064911,0.003314727299132,,0.9270528591175388,0.0,,,,0.0169592159971845,0.0319438309356909,0.016362951442113,,,,,
17,2009-05-30,1485.2,1505.6,1484.0,1504.5,1504.5,0,0,0,0.0,,1494.8249999999998,,,,0.992831923721632,0.0,,,,0.0147307651982186,0.0403512955235667,0.0139545600685083,,,,,
18,2009-05-31,1504.6,1505.0,1500.7,1501.5,1501.5,1441,0,0,-0.0019960086467145,,1502.95,,,,0.9300557276114434,0.0,,,,0.0127347565515041,0.0335915649337428,0.0100523749143104,,,,,
19,2009-06-01,1501.6,1513.8,1497.7,1500.6,1500.6,83639,0,0,-0.0005995803117571,,1503.425,0.0129453865030263,0.0033102825822393,,0.9592077534350923,0.0,,,,0.0117979649736961,0.0254442611275873,0.0067331306749653,0.0,,,,
20,2009-06-02,1500.6,1511.9,1494.1,1508.1,1508.1,82237,0,0,0.004985552255011,,1503.6750000000002,0.0050214766590807,0.0034540087693607,,0.9961720831908027,0.0,,,,0.0175255321705058,0.0193491792937239,0.0086167327751779,0.0042828789731816,,,,
21,2009-06-03,1507.9,1515.7,1485.1,1489.3,1489.3,120139,0,0,-0.012544369474817,,1499.5,0.0134987753817955,0.0042380335512306,,1.109879056321274,0.0,,,,0.0075487316737952,0.004576359019941,-0.0033767488728151,-0.0078284034561705,,,,
22,2009-06-04,1489.6,1507.9,1485.6,1503.8,1503.8,106828,0,0,0.0096890270521043,0.0130464342457608,1496.725,0.0158505031698407,0.0045860590235851,,1.1525418241500551,0.0,,,,0.0213732176551051,0.0142653860720454,0.0062671042265121,0.0017575568317985,,,0.1113985653427023,0.0191427989636721
23,2009-06-05,1503.9,1508.6,1477.4,1481.1,1481.1,137623,0,0,-0.0152101830109998,-0.0170710224746278,1492.75,0.0180340486980744,0.0051962558865607,,1.240224965182174,0.0,,,,-0.0028990413022693,-0.0012820082050053,-0.0083914257835505,-0.0132369072893282,,,0.1336491387695698,-0.1339576313450039
24,2009-06-06,1503.9,1508.6,1477.4,1481.1,1481.1,0,0,0,0.0,0.0,1492.75,,,,1.3108191216630565,0.0,,,,-0.0156755621371731,-0.0005399932632066,-0.0078806368097665,-0.0129370154412258,0.0,,0.1268488470865609,-0.0434055374999559
